"남부",광명시,306,18,2,84,81,3,1,1,200,7797,1182,132,3632,3455,177,20,68,2763,347,21,2,89,86,3,2,1,232,8972,1340,132,3985,3805,180,35,74,3406,387,23,2,102,99,3,3,1,256,10841,1627,134,4863,4686,177,51,77,4089,397,24,2,107,102,5,3,1,260,11242,-,-,1740,128,5253,5067,186,49,79,3993,390,25,2,97,4,4,2,256,11188,...,...,1719,128,4996,236,64,119,3926,365,25,2,93,4,4,2,235,10579,...,...,1788,133,4629,221,66,137,3605,342,25,2,90,4,4,3,214,10204,…,…,1796,134,4524,233,64,173,3280,327,24,2,88,3,4,4,202,9843,5182,4661,1771,135,4337,183,62,205,3150,309,28,2,82,2,4,4,187,9327,4834,4493,1980,54,3969,158,61,213,2892,274,30,1,70,2,4,4,163,8577,4419,4158,2111,51,3487,146,77,209,2496,244,30,1,58,2,4,4,145,7237,3741,3496,2056,54,2727,107,82,204,2007
"남부",평택시,359,16,2,163,158,5,1,4,173,11884,1059,248,7920,7447,473,32,110,2515,377,16,2,166,161,5,1,3,189,12795,1092,253,8294,7816,478,33,211,2912,406,16,2,184,178,6,1,3,200,14485,1099,252,9538,9058,480,35,264,3297,425,16,2,197,192,5,1,5,204,15130,-,-,1080,242,10125,9688,437,38,434,3211,431,17,2,195,5,1,6,205,15420,...,...,1047,236,9976,408,34,442,3277,427,17,2,189,5,1,6,207,14704,...,...,1111,233,9179,407,28,446,3300,419,18,2,185,5,1,9,199,14983,…,…,1204,246,9316,398,27,536,3256,420,18,2,189,4,1,9,197,15314,7881,7433,1212,220,9680,380,19,556,3247,413,18,2,184,3,1,12,193,14970,7710,7260,1215,195,9588,186,19,650,3117,422,30,2,183,2,1,13,191,15368,7908,7460,1752,203,9486,151,17,701,3058,419,45,2,173,3,1,13,182,14900,7645,7255,2398,167,8715,135,13,705,2767
"남부",안산시,728,20,-,262,257,5,3,3,440,22087,1948,-,13654,13325,329,74,179,6232,733,20,-,260,255,5,3,4,446,22664,1927,-,13915,13606,309,71,236,6515,748,20,-,257,252,5,3,4,464,24023,1953,-,14531,14213,318,67,251,7221,752,20,-,256,251,5,2,5,469,23286,-,-,1880,-,14405,14091,314,40,283,6678,739,21,-,246,6,5,5,456,22930,...,...,1858,-,13830,330,81,290,6541,680,21,-,235,6,5,5,408,21125,...,...,1845,-,12710,338,85,297,5850,623,21,-,229,7,4,9,353,20495,…,…,1848,-,12579,344,78,371,5275,575,21,-,220,8,3,10,313,20278,10359,9919,1811,-,12717,433,56,395,4866,526,24,-,212,7,3,11,269,19275,9915,9360,1884,-,12313,400,57,449,4172,490,29,-,199,7,3,11,241,18746,9627,9119,2082,-,12014,411,54,469,3716,464,40,-,188,7,3,10,216,17279,8892,8387,2546,-,10730,393,48,456,3106
"남부",과천시,53,7,1,8,8,-,3,6,28,2212,536,84,411,411,-,81,645,455,53,7,1,7,7,-,3,7,28,2280,534,84,392,392,-,87,722,461,54,8,1,7,7,-,4,7,27,2367,613,79,475,475,-,107,617,476,52,8,1,7,7,-,5,7,24,2296,-,-,610,82,478,478,-,120,558,448,52,8,1,7,-,5,7,24,2274,...,...,606,81,472,-,147,535,433,50,8,1,7,-,6,7,21,2236,...,...,615,76,453,-,161,554,377,50,8,1,6,-,6,9,20,2262,…,…,604,75,445,-,161,646,331,47,8,1,5,-,6,9,18,2244,1220,1024,594,73,392,-,155,713,317,48,8,1,5,-,6,9,19,2205,1194,1011,605,76,316,-,139,732,337,46,8,1,6,-,5,8,18,2026,1125,901,582,68,321,-,125,629,301,46,10,1,5,-,5,9,16,2027,1095,932,640,74,277,-,118,619,299
"남부",오산시,202,17,1,56,54,2,-,-,128,6706,1284,43,3178,3023,155,-,-,2201,230,18,1,64,62,2,-,1,146,6688,1213,29,3130,3001,129,-,18,2298,256,19,1,68,66,2,-,2,166,7641,1328,33,3457,3326,131,-,53,2770,264,23,1,70,68,2,-,3,167,8135,-,-,1653,39,3586,3453,133,-,56,2801,266,24,1,69,2,-,4,166,8443,...,...,1789,40,3560,132,-,68,2854,257,25,1,68,2,-,4,157,8144,...,...,1826,39,3389,127,-,80,2683,253,26,1,69,2,-,5,150,8140,…,…,1859,43,3405,126,-,120,2587,256,32,1,70,2,-,5,146,8236,4287,3949,1896,36,3533,124,-,135,2512,261,37,1,66,2,-,4,151,8442,4360,4082,2147,36,3323,129,-,140,2667,262,40,1,64,2,-,4,151,8621,4476,4145,2509,34,3216,131,-,151,2580,252,41,1,57,3,-,5,145,8005,4124,3881,2554,34,2794,168,-,163,2292
"남부",시흥시,428,20,4,157,155,2,-,1,246,13070,1124,380,7701,7618,83,-,49,3816,429,20,4,157,155,2,-,1,247,13685,1114,346,8228,8151,77,-,41,3956,427,20,4,155,154,1,-,1,247,14660,1123,341,8941,8885,56,-,47,4208,433,22,4,160,159,1,1,1,245,14459,-,-,1206,356,8952,8910,42,8,42,3895,428,22,4,161,1,1,2,237,14249,...,...,1182,321,8917,29,13,54,3733,421,22,4,159,1,1,2,232,13970,...,...,1246,333,8713,30,12,67,3569,402,24,4,154,1,-,2,217,13722,…,…,1345,341,8480,42,-,71,3443,420,28,4,156,1,-,2,229,14332,7449,6883,1399,335,8822,33,-,66,3677,440,36,4,160,1,-,3,236,16003,8345,7658,1865,326,9717,35,-,81,3979,465,53,4,158,1,-,3,246,17205,8883,8322,2984,297,9627,37,-,103,4157,484,68,4,152,2,-,6,252,17203,8849,8354,3879,283,8703,161,-,160,4017
"남부",군포시,241,17,1,80,79,1,1,3,139,6758,1095,46,3766,3621,145,18,120,1713,263,17,1,80,79,1,2,3,160,7430,1110,49,3919,3772,147,39,145,2168,322,17,1,84,83,1,2,3,215,8888,1117,49,4224,4079,145,56,163,3279,320,17,1,81,80,1,3,4,214,8740,-,-,1112,49,4170,4017,153,56,186,3167,315,18,1,83,1,4,4,204,8922,...,...,1128,48,4241,141,79,203,3082,297,19,1,79,1,4,4,189,8587,...,...,1153,48,4114,136,73,227,2836,274,19,1,78,1,4,4,167,8450,…,…,1196,46,4157,133,79,217,2622,273,19,1,77,1,4,4,167,8429,4330,4099,1207,43,4177,128,76,206,2592,273,22,1,76,1,4,4,165,8017,4112,3905,1189,34,3964,129,74,203,2424,257,25,1,72,1,2,5,151,7534,3871,3663,1229,41,3698,126,38,240,2162,225,25,1,65,1,3,6,124,6696,3459,3237,1463,41,3130,116,38,211,1697
"남부",의왕시,115,8,4,26,21,5,2,2,73,3671,497,467,1420,915,505,68,78,1141,131,9,4,29,24,5,2,2,85,3993,618,458,1545,1048,497,61,99,1212,192,9,4,33,27,6,3,2,141,5124,618,467,1740,1193,547,89,114,2096,205,10,4,38,32,6,4,2,147,5631,-,-,673,430,2086,1571,515,108,126,2208,189,10,4,34,6,4,1,130,5499,...,...,655,428,1732,539,100,62,1983,165,11,4,35,6,4,2,103,5028,...,...,704,393,1774,418,100,61,1578,144,11,4,33,5,4,2,85,4974,…,…,748,369,1791,419,105,85,1457,134,11,4,31,5,4,3,76,4803,2495,2308,757,370,1687,423,90,135,1341,133,12,4,31,5,4,4,73,4678,2426,2252,749,370,1590,429,98,154,1288,136,19,4,29,4,4,4,72,4697,2433,2264,983,370,1475,362,86,170,1251,131,20,4,29,4,3,4,67,4620,2481,2139,1154,387,1388,334,62,191,1104
"남부",하남시,139,6,1,49,49,-,2,-,81,3800,372,38,2103,2103,-,68,-,1219,147,6,1,50,50,-,3,-,87,4099,385,37,2252,2252,-,83,-,1342,162,6,-,51,50,1,3,-,102,4860,394,-,2711,2671,40,85,-,1670,163,6,-,53,53,-,4,-,100,4840,-,-,380,-,2829,2829,-,163,-,1468,163,6,-,55,-,5,-,97,5070,...,...,382,-,2993,-,182,-,1513,172,7,-,59,-,5,1,100,5493,...,...,378,-,3344,-,196,29,1546,197,8,-,65,1,5,1,117,6867,…,…,559,-,4003,50,213,31,2011,210,9,-,71,1,5,2,122,7698,3935,3763,578,-,4568,49,207,63,2233,226,14,-,75,1,6,2,128,8405,4308,4097,835,-,4880,44,226,63,2357,239,29,-,69,1,6,2,132,9298,4877,4421,1775,-,4758,49,236,61,2419,243,38,-,68,1,6,3,127,9360,4867,4493,2301,-,4479,49,228,88,2215
"남부",용인시,961,22,6,257,235,22,1,6,669,25194,1060,499,13208,11968,1240,20,278,10129,1001,24,6,282,260,22,1,7,681,27527,1230,475,14843,13503,1340,20,594,10365,1091,28,6,305,281,24,2,12,738,32539,1622,506,16731,15158,1573,48,905,12727,1166,29,6,340,317,23,4,14,773,34380,-,-,1639,486,18491,16761,1730,71,1103,12590,1161,30,5,334,21,5,15,751,35556,...,...,1812,433,18122,1507,94,1218,12370,1099,31,5,332,21,6,15,689,33990,...,...,2025,425,17569,1378,119,1218,11256,1038,31,5,330,17,7,18,630,33910,…,…,2047,423,18369,1184,127,1279,10481,994,31,4,326,16,8,20,589,34009,17522,16487,2035,387,18825,1175,166,1367,10054,965,32,4,322,16,8,24,559,33829,17477,16352,2086,368,18928,1166,170,1523,9588,916,38,4,311,14,7,25,517,33493,17341,16152,2429,363,18951,1061,150,1616,8923,860,47,4,295,13,7,26,468,30325,15823,14502,2875,319,17207,892,139,1593,7300
