"행정구역(시군구)별",2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51610695,25730584,25880111,51592660,25721053,25871607,51583722,25715591,25868131,50515666,25310385,25205281,50734284,25406934,25327350,50948272,25504060,25444212,51141463,25588336,25553127,51327916,25669296,25658620,51529338,25758186,25771152,51696216,25827594,25868622,51778544,25855919,25922625,51826059,25866129,25959930,51849861,25864816,25985045,51829023,25841029,25987994,51638809,25746684,25892125
"서울특별시",9506778,4613910,4892868,9500480,4610082,4890398,9496887,4607440,4889447,10312545,5111259,5201286,10249679,5073899,5175780,10195318,5041336,5153982,10143645,5007869,5135776,10103233,4979768,5123465,10022181,4930943,5091238,9930616,4876789,5053827,9857426,4830206,5027220,9765623,4773899,4991724,9729107,4744059,4985048,9668465,4701723,4966742,9509458,4618040,4891418
"부산광역시",3343504,1634958,1708546,3340214,1633170,1707044,3338167,1631825,1706342,3567910,1773170,1794740,3550963,1762848,1788115,3538484,1754479,1784005,3527635,1747000,1780635,3519401,1740417,1778984,3513777,1735570,1778207,3498529,1725607,1772922,3470653,1709508,1761145,3441453,1692421,1749032,3413841,1675417,1738424,3391946,1661000,1730946,3350380,1639044,1711336
"대구광역시",2380494,1172632,1207862,2378573,1171451,1207122,2376676,1170309,1206367,2511676,1255245,1256431,2507271,1251577,1255694,2505644,1249320,1256324,2501588,1246071,1255517,2493264,1241119,1252145,2487829,1237291,1250538,2484557,1234169,1250388,2475231,1227814,1247417,2461769,1219342,1242427,2438031,1205286,1232745,2418346,1193109,1225237,2385412,1175632,1209780
"인천광역시",2952699,1478272,1474427,2953260,1478514,1474746,2955167,1479428,1475739,2758296,1390356,1367940,2801274,1410980,1390294,2843981,1431593,1412388,2879782,1448835,1430947,2902608,1459074,1443534,2925815,1469869,1455946,2943069,1477671,1465398,2948542,1479597,1468945,2954642,1481844,1472798,2957026,1482249,1474777,2942828,1473943,1468885,2948375,1476373,1472002
"광주광역시",1438463,711289,727174,1436916,710524,726392,1436012,710062,725950,1454636,721780,732856,1463464,725606,737858,1469216,728406,740810,1472910,730216,742694,1475884,731339,744545,1472199,729662,742537,1469214,728137,741077,1463770,725295,738475,1459336,722581,736755,1456468,720740,735728,1450062,717348,732714,1441611,713015,728596
"대전광역시",1450057,723361,726696,1449360,723063,726297,1448933,722840,726093,1503664,753648,750016,1515603,759188,756415,1524583,763671,760912,1532811,767309,765502,1531809,766497,765312,1518775,759778,758997,1514370,757289,757081,1502227,750969,751258,1489936,744338,745598,1474870,736607,738263,1463882,730699,733183,1452251,724626,727625
"울산광역시",1118010,574444,543566,1117204,573984,543220,1116482,573619,542863,1126298,579071,547227,1135494,583825,551669,1147256,590424,556832,1156480,595319,561161,1166377,600904,565473,1173534,604889,568645,1172304,603797,568507,1165132,599480,565652,1155623,593819,561804,1148019,589712,558307,1136017,583708,552309,1121592,576217,545375
"세종특별자치시",377296,188356,188940,378196,188778,189418,379340,189302,190038,-,-,-,-,-,-,113117,57633,55484,122153,62205,59948,156125,78862,77263,210884,105752,105132,243048,121505,121543,280100,139734,140366,314126,156831,157295,340575,169845,170730,355831,177568,178263,371895,185678,186217
"경기도",13575936,6832830,6743106,13577808,6833859,6743949,13581496,6835968,6745528,11786622,5942454,5844168,11937415,6015357,5922058,12093299,6091035,6002264,12234630,6159193,6075437,12357830,6219813,6138017,12522606,6299812,6222794,12716780,6395453,6321327,12873895,6475323,6398572,13077153,6577501,6499652,13239666,6659995,6579671,13427014,6754469,6672545,13565450,6827298,6738152
"강원도",1539036,774522,764514,1539038,774562,764476,1539005,774458,764547,1529818,769807,760011,1536448,773278,763170,1538630,774273,764357,1542263,776498,765765,1544442,778007,766435,1549507,781434,768073,1550806,781146,769660,1550142,780635,769507,1543052,776456,766596,1541502,775386,766116,1542840,776505,766335,1538492,774332,764160
"충청북도",1597484,811004,786480,1597284,811063,786221,1597033,811009,786024,1549528,781301,768227,1562903,787981,774922,1565628,789286,776342,1572732,792862,779870,1578933,796141,782792,1583952,798896,785056,1591625,803240,788385,1594432,805091,789341,1599252,808971,790281,1600007,810384,789623,1600837,811591,789246,1597427,810672,786755
"충청남도",2119099,1083753,1035346,2119296,1083970,1035326,2119661,1084296,1035365,2075514,1049363,1026151,2101284,1063012,1038272,2028777,1026812,1001965,2047631,1037421,1010210,2062273,1045892,1016381,2077649,1054439,1023210,2096727,1064765,1031962,2116770,1076270,1040500,2126282,1082009,1044273,2123709,1081938,1041771,2121029,1082634,1038395,2119257,1083366,1035891
