"전출지별","전입지별",2022.02,2022.03,2022.04,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"전라남도","부산광역시",406,251,177,3184,3201,3226,3148,3278,3308,3279,3184,3077,3124,3276,2959
"전라남도","대구광역시",123,125,57,825,838,876,986,921,873,959,905,1021,878,996,869
"전라남도","인천광역시",339,304,193,4189,3966,3819,3482,3557,3496,3537,3466,3509,3435,3538,3219
"전라남도","광주광역시",2931,2771,1930,43153,40669,36882,35498,38942,37578,34507,33884,37201,37142,35936,33287
"전라남도","대전광역시",236,163,139,1977,2149,2109,1833,2026,2019,2005,2000,2027,2053,1977,1947
"전라남도","울산광역시",80,87,71,977,1117,1031,1073,1041,1158,977,889,877,964,939,829
"전라남도","세종특별자치시",104,59,48,-,-,267,262,402,699,641,717,871,825,821,745
"전라남도","경기도",1346,1144,950,19701,17645,17420,15650,15658,15749,16012,15149,16170,15942,16164,14973
"전라남도","강원도",139,126,86,1773,1562,1485,1505,1533,1601,1519,1478,1383,1469,1576,1514
"전라남도","충청북도",157,167,126,1345,1411,1317,1200,1336,1442,1472,1480,1524,1499,1629,1495
"전라남도","충청남도",344,315,260,3928,3892,3356,3449,3090,3389,3381,3523,3511,3393,3466,3475
"전라남도","전라북도",555,468,321,6097,6266,5800,5511,5584,5551,5970,5893,5587,5448,5884,5387
"전라남도","전라남도",12284,12011,9398,163343,159553,143423,151466,161491,147703,140958,137172,134973,136414,151213,138571
"전라남도","경상북도",174,144,121,1913,1983,1762,1769,1824,1826,1795,1745,1652,1632,1782,1834
"전라남도","경상남도",425,356,256,4461,4950,4427,4160,4410,4551,4357,3977,3826,3932,4222,3729
"전라남도","제주특별자치도",128,99,70,1029,961,1062,1048,1174,1341,1400,1424,1290,1227,1269,1148
"경상북도","전국",30343,28087,21461,358127,358695,340222,330983,338029,345307,318803,316642,318671,311082,334679,314529
"경상북도","서울특별시",2046,1671,1067,18395,17319,17694,16561,16796,16478,16087,15681,16459,16887,17936,16098
"경상북도","부산광역시",1270,893,639,9135,9091,9519,9209,10514,10473,9284,8896,8589,9030,9854,9254
"경상북도","대구광역시",4188,4572,2913,46132,44089,43587,42776,47044,43828,39505,39231,40245,38513,44383,38560
"경상북도","인천광역시",347,408,235,4320,4171,4043,3773,3938,3773,3557,3488,3662,3665,3822,3569
"경상북도","광주광역시",113,87,52,830,768,793,772,847,920,731,784,841,780,812,780
"경상북도","대전광역시",456,368,231,3474,3690,3641,3433,3419,3508,3543,3473,3511,3490,3839,3792
"경상북도","울산광역시",745,610,460,8024,8086,8242,7685,8281,8642,6907,6386,6160,6742,6886,6631
"경상북도","세종특별자치시",164,109,91,-,-,347,353,602,977,829,1008,1117,1140,1219,1087
"경상북도","경기도",2161,1810,1386,23319,21565,21521,19815,19128,20107,19698,19731,20957,20502,23122,22094
"경상북도","강원도",398,301,257,3807,3825,3913,3943,3903,4069,3815,3474,3420,3493,3692,3641
"경상북도","충청북도",477,396,330,4290,4129,4191,3927,4112,4225,4141,4044,4407,4166,4723,4483
"경상북도","충청남도",418,378,282,4880,4750,4988,4464,4567,4511,3969,4246,4256,3973,4413,4195
"경상북도","전라북도",170,127,108,1499,1474,1505,1455,1411,1570,1396,1390,1289,1383,1498,1446
"경상북도","전라남도",180,149,133,1755,1792,1796,1605,1830,1797,1785,1688,1695,1874,1898,1694
"경상북도","경상북도",16174,15294,12580,217642,223534,204248,201206,201259,209109,193354,193235,192155,185699,196478,187410
"경상북도","경상남도",908,788,595,9838,9623,9355,9092,9413,10089,8826,8530,8377,8415,8727,8508
"경상북도","제주특별자치도",128,126,102,787,789,839,914,965,1231,1376,1357,1531,1330,1377,1287
"경상남도","전국",41055,33843,28710,478709,469223,417328,423864,456164,450279,410180,409200,395524,405561,419997,388485
"경상남도","서울특별시",2536,1916,1203,18680,18329,18230,16841,17144,16781,17169,17312,17872,18326,18612,17299
"경상남도","부산광역시",5931,4028,3130,49798,51166,46996,46232,50672,51578,46877,47218,42235,44084,50590,48583
"경상남도","대구광역시",989,1236,606,9344,8888,8758,8643,8485,8659,9028,8646,8601,8107,9310,8260
"경상남도","인천광역시",346,312,242,3450,3297,3628,3353,3266,3464,3267,3390,3279,3471,3408,3318
"경상남도","광주광역시",176,87,93,1550,1452,1533,1372,1414,1455,1320,1344,1496,1157,1365,1426
"경상남도","대전광역시",348,262,191,2953,3038,2823,2843,2577,2613,2788,2650,2720,2598,2804,2877
"경상남도","울산광역시",759,587,511,8441,8749,8694,8829,8976,8526,7571,6977,6734,6987,6812,6646
"경상남도","세종특별자치시",167,71,56,-,-,342,284,601,962,882,1034,1149,978,977,993
"경상남도","경기도",2017,1673,1291,19323,17850,17722,16232,16298,16945,16574,17134,18377,18020,19216,19428
"경상남도","강원도",289,264,174,2987,2942,2902,2700,2549,2708,2687,2475,2353,2471,2693,2725
"경상남도","충청북도",322,262,227,2407,2327,2187,2073,2353,2464,2570,2219,2642,2634,2605,2653
"경상남도","충청남도",515,355,275,4432,4322,3913,3584,3664,3671,3736,4501,4254,3917,4087,4289
"경상남도","전라북도",213,218,175,2633,2636,2225,2219,2273,2148,2196,2121,2059,2017,2133,2258
"경상남도","전라남도",421,368,364,4931,5203,4695,4437,4679,4742,4610,4451,4451,4632,4810,4460
"경상남도","경상북도",1125,1032,635,11079,10982,10178,9718,9540,10003,9257,9320,9014,9213,9085,9860
"경상남도","경상남도",24625,20997,19377,335387,326746,281109,293031,319925,311708,277204,275875,265997,274748,279310,251272
"경상남도","제주특별자치도",276,175,160,1314,1296,1393,1473,1748,1852,2444,2533,2291,2201,2180,2138
"제주특별자치도","전국",10199,8290,6354,76787,80365,74625,81028,81396,83323,92193,91022,95349,92030,94736,91062
"제주특별자치도","서울특별시",1235,917,580,5632,5268,5612,5410,5739,6351,6634,7209,7720,8513,8704,8498
"제주특별자치도","부산광역시",337,227,163,1707,1639,1525,1576,1742,1773,1853,2029,1980,2211,2532,2367
"제주특별자치도","대구광역시",141,111,98,609,548,624,620,631,734,823,1003,1032,1006,1082,1127
"제주특별자치도","인천광역시",189,213,143,1077,1053,1104,1167,1222,1287,1414,1552,1738,1946,1764,1825
"제주특별자치도","광주광역시",160,72,64,801,725,765,767,668,793,741,898,926,910,1016,905
"제주특별자치도","대전광역시",105,56,68,522,439,462,480,570,603,631,688,689,723,719,773
"제주특별자치도","울산광역시",64,47,42,380,337,397,356,392,441,430,403,470,565,534,499
"제주특별자치도","세종특별자치시",47,29,12,-,-,58,74,134,188,210,255,333,322,308,360
"제주특별자치도","경기도",947,712,530,5022,4990,4655,4775,5291,5845,6520,6931,7779,7884,8298,8425
"제주특별자치도","강원도",95,92,67,542,516,520,511,543,607,694,693,802,784,877,816
"제주특별자치도","충청북도",93,82,54,478,518,484,433,546,621,726,754,783,839,846,871
"제주특별자치도","충청남도",124,95,97,774,776,696,676,757,896,834,967,1002,1131,1143,1199
"제주특별자치도","전라북도",122,84,72,672,561,551,516,609,683,733,768,902,1032,1007,986
"제주특별자치도","전라남도",130,120,85,1002,1026,966,1001,928,1062,1127,1102,1254,1302,1466,1326
"제주특별자치도","경상북도",173,118,94,738,756,699,781,728,903,931,994,1146,1229,1181,1261
"제주특별자치도","경상남도",249,161,126,1324,1367,1227,1278,1223,1500,1448,1501,1780,1825,1861,1947
"제주특별자치도","제주특별자치도",5988,5154,4059,55507,59846,54280,60607,59673,59036,66444,63275,65013,59808,61398,57877
