"전출지별","전입지별",2022.02,2022.03,2022.04,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"부산광역시","제주특별자치도",340,256,195,1780,1875,1928,1996,2131,2735,2948,2993,2826,2651,2568,2717
"대구광역시","전국",29400,26248,23023,382657,383310,359206,363224,365739,364364,337488,333118,335400,336092,364083,329080
"대구광역시","서울특별시",2107,1601,983,13915,13310,13838,13673,13735,13038,12802,13011,13749,14515,15216,14136
"대구광역시","부산광역시",813,542,332,5050,4906,5216,5543,6157,5182,4860,4840,4705,5166,5453,5058
"대구광역시","대구광역시",17453,16213,16010,274649,276495,254661,258107,252642,259185,240722,236143,235621,231169,256068,221685
"대구광역시","인천광역시",210,189,126,1968,2000,1979,2202,2015,1987,1962,1930,1968,2090,2112,2014
"대구광역시","광주광역시",78,35,31,527,577,711,622,902,629,547,515,549,575,624,630
"대구광역시","대전광역시",297,234,143,1956,2063,2144,2219,2254,2085,1949,1978,2067,2167,2254,2239
"대구광역시","울산광역시",331,266,176,3551,3586,3844,3833,3835,3675,3266,2604,2601,2830,2941,2729
"대구광역시","세종특별자치시",160,101,67,-,-,261,233,526,879,642,827,887,818,879,841
"대구광역시","경기도",1487,1221,859,14596,13320,13581,13659,12813,12322,11918,12354,13227,13556,15024,14014
"대구광역시","강원도",188,159,121,2039,1843,1807,1820,1884,1884,1748,1657,1676,1712,1947,1866
"대구광역시","충청북도",283,204,151,1784,1849,1943,1958,2026,1957,1771,1824,2017,2172,2245,2284
"대구광역시","충청남도",269,244,189,2730,2647,2706,2599,2682,2509,2323,2578,2510,2550,2644,2588
"대구광역시","전라북도",99,89,52,860,1003,878,985,996,940,920,911,840,828,940,915
"대구광역시","전라남도",138,112,88,985,947,977,948,985,953,907,897,984,989,1044,1007
"대구광역시","경상북도",4336,4146,3052,47895,49300,44922,45035,51852,46900,41444,41714,42744,45417,45117,47632
"대구광역시","경상남도",974,735,537,9521,8821,8965,8941,9374,8922,8313,7704,7684,8115,8214,8040
"대구광역시","제주특별자치도",177,157,106,631,643,773,847,1061,1317,1394,1631,1571,1423,1361,1402
"인천광역시","전국",36356,33053,29160,458439,470758,440872,439578,442973,463685,435869,411135,433706,422351,460304,421714
"인천광역시","서울특별시",3723,3253,2410,35670,33008,32216,33017,34380,33570,32486,32528,32415,34760,38409,34346
"인천광역시","부산광역시",257,207,173,2738,3213,2691,2677,3088,2930,2616,2620,2107,2165,2381,2150
"인천광역시","대구광역시",173,185,102,1628,1585,1702,1795,1734,1691,1551,1590,1502,1542,1577,1399
"인천광역시","인천광역시",22520,20508,19045,303966,325441,297979,297446,295375,314622,290783,266394,287236,276081,297626,277313
"인천광역시","광주광역시",162,129,91,2492,1979,1884,1939,2007,1894,1762,1518,1451,1349,1543,1422
"인천광역시","대전광역시",334,208,146,2589,2820,2873,2673,2736,2756,2616,2552,2263,2359,2476,2407
"인천광역시","울산광역시",100,57,54,949,1081,1116,1289,1083,1359,1080,962,778,757,793,840
"인천광역시","세종특별자치시",125,91,65,-,-,597,592,990,1496,1398,1265,1125,1186,1117,1038
"인천광역시","경기도",5594,5295,4579,71031,65332,65127,63331,65903,66353,66764,67838,72932,70868,81497,67980
"인천광역시","강원도",578,571,382,5808,5695,5339,5573,5549,5904,5598,5396,5125,5190,5544,5421
"인천광역시","충청북도",461,444,328,4347,3952,4167,4172,4210,4624,4303,4051,4191,3999,4268,4140
"인천광역시","충청남도",781,813,646,9985,9332,8591,8752,8964,9101,8728,8730,8194,7671,8102,8302
"인천광역시","전라북도",324,259,251,4379,4347,3987,3577,3745,3581,3756,3502,3087,2970,3321,3122
"인천광역시","전라남도",302,233,250,4257,4023,3725,3751,3848,3876,3523,3205,3089,3227,3242,3112
"인천광역시","경상북도",321,349,279,3833,4217,4200,3944,3950,3982,3589,3352,3173,3274,3394,3563
