"행정구역(시군구)별",2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32784,15291,17493,4704,0,0,28080,10587,23805,15109,8696,4105,0,0,19700,11004,56526,23070,33456,10455,0,0,46071,12615,83994,30950,53044,13990,0,0,70004,16960,65052,35236,29816,14546,0,0,50506,20690,82073,47383,34690,23245,0,0,58828,24138,86433,55000,31433,28450,0,0,57983,26550,82398,58674,23724,28381,0,0,54017,30293,78934,65909,13025,30045,0,0,48889,35864,76912,62827,14085,30037,0,0,46875,32790
"경기도",2168820,2026383,142437,834147,601122,601122,733551,591114,2062422,1986623,75799,832888,554918,554918,674616,598817,1944962,1862209,82753,766080,528485,528485,650397,567644,1895434,1821303,74131,767618,506877,506877,620939,546808,1891775,1834379,57396,769180,505892,505892,616703,559307,1993080,1898312,94768,816014,530250,530250,646816,552048,1958593,1824976,133617,785160,515941,515941,657492,523875,1888324,1772162,116162,740434,518753,518753,629137,512975,2041715,1871621,170094,788471,578031,578031,675213,505119,1940962,1806296,134666,744143,557565,557565,639254,504588,2152572,1984199,168373,842504,605557,605557,704511,536138,2036215,1885698,150517,779725,586091,586091,670399,519882
"강원도",241738,241183,555,110407,42758,42758,88573,88018,236077,231424,4653,106092,41050,41050,88935,84282,225896,225184,712,101616,39033,39033,85247,84535,217917,214931,2986,98433,37608,37608,81876,78890,228369,226284,2085,106944,38306,38306,83119,81034,227125,222352,4773,101138,38880,38880,87107,82334,223484,221592,1892,101820,39101,39101,82563,80671,211653,209618,2035,92243,38720,38720,80690,78655,216398,220252,-3854,103018,37068,37068,76312,80166,217626,215965,1661,104679,35002,35002,77945,76284,223354,217897,5457,105809,35254,35254,82291,76834,217103,210422,6681,98709,34936,34936,83458,76777
"충청북도",235671,229707,5964,108942,44125,44125,82604,76640,228594,220515,8079,103337,42342,42342,82915,74836,212263,207622,4641,94467,38994,38994,78802,74161,215973,212860,3113,101578,38381,38381,76014,72901,215944,213577,2367,105337,31277,31277,79330,76963,214626,213188,1438,106553,26711,26711,81362,79924,202679,197668,5011,100466,23690,23690,78523,73512,197177,194915,2262,95481,24344,24344,77352,75090,218886,213737,5149,112186,26684,26684,80016,74867,211396,208831,2565,107970,25414,25414,78012,75447,229895,226441,3454,118937,28216,28216,82742,79288,214300,210838,3462,105180,26250,26250,82870,79408
"충청남도",317853,301675,16178,129712,47660,47660,140481,124303,321187,302546,18641,129403,50249,50249,141535,122894,287195,277346,9849,120578,41165,41165,125452,115603,281428,268053,13375,119387,40169,40169,121872,108497,289627,279817,9810,121802,43299,43299,124526,114716,289952,279680,10272,121329,42167,42167,126456,116184,286764,271446,15318,118023,44983,44983,123758,108440,288738,269337,19401,120050,41562,41562,127126,107725,292305,282221,10084,126255,43410,43410,122640,112556,258790,259584,-794,104346,39607,39607,114837,115631,287127,286386,741,117462,45904,45904,123761,123020,282195,273673,8522,110444,46065,46065,125686,117164
"전라북도",305789,308237,-2448,159076,69805,69805,76908,79356,308011,306290,1721,157742,71094,71094,79175,77454,271835,275126,-3291,136862,62392,62392,72581,75872,258198,260395,-2197,132650,57015,57015,68533,70730,274337,276900,-2563,141920,61805,61805,70612,73175,261832,264662,-2830,134872,58204,58204,68756,71586,248188,252607,-4419,123446,58211,58211,66531,70950,232047,239253,-7206,110582,56756,56756,64709,71915,243324,257097,-13773,126328,57018,57018,59978,73751,228775,241523,-12748,117247,53110,53110,58418,71166,249083,257577,-8494,132951,53507,53507,62625,71119,223710,229511,-5801,114540,47692,47692,61478,67279
"전라남도",265600,275661,-10061,108242,55101,55101,102257,112318,261239,266461,-5222,102728,56825,56825,101686,106908,239026,244080,-5054,92639,50784,50784,95603,100657,244329,246635,-2306,97685,53781,53781,92863,95169,260278,260874,-596,107286,54205,54205,98787,99383,250104,246168,3936,95042,52661,52661,102401,98465,234132,237337,-3205,89149,51809,51809,93174,96379,227504,230551,-3047,85559,51613,51613,90332,93379,224384,232414,-8030,83406,51567,51567,89411,97441,224483,233271,-8788,84162,52252,52252,88069,96857,239016,248770,-9754,92950,58263,58263,87803,97557,223619,228106,-4487,89248,49323,49323,85048,89535
"경상북도",354575,358127,-3552,158808,58834,58834,136933,140485,363511,358695,4816,163443,60091,60091,139977,135161,335362,340222,-4860,148144,56104,56104,131114,135974,329118,330983,-1865,146235,54971,54971,127912,129777,337041,338029,-988,145694,55565,55565,135782,136770,344730,345307,-577,148598,60511,60511,135621,136198,315652,318803,-3151,138749,54605,54605,122298,125449,311061,316642,-5581,140628,52607,52607,117826,123407,309446,318671,-9225,138178,53977,53977,117291,126516,306511,311082,-4571,131914,53785,53785,120812,125383,317701,334679,-16978,138869,57609,57609,121223,138201,317866,314529,3337,131535,55875,55875,130456,127119
"경상남도",481955,478709,3246,228609,106778,106778,146568,143322,473757,469223,4534,235551,91195,91195,147011,142477,414556,417328,-2772,198123,82986,82986,133447,136219,427658,423864,3794,212397,80634,80634,134627,130833,462239,456164,6075,236877,83048,83048,142314,136239,455384,450279,5105,227168,84540,84540,143676,138571,411952,410180,1772,199864,77340,77340,134748,132976,413179,409200,3979,200391,75484,75484,137304,133325,389714,395524,-5810,193649,72348,72348,123717,129527,396251,405561,-9310,200493,74255,74255,121503,130813,403339,419997,-16658,204318,74992,74992,124029,140687,374782,388485,-13703,178975,72297,72297,123510,137213
"제주특별자치도",77224,76787,437,47076,8431,8431,21717,21280,82708,80365,2343,51183,8663,8663,22862,20519,79501,74625,4876,46142,8138,8138,25221,20345,88851,81028,7823,52950,7657,7657,28244,20421,92508,81396,11112,51091,8582,8582,32835,21723,97580,83323,14257,50522,8514,8514,38544,24287,106825,92193,14632,57293,9151,9151,40381,25749,105027,91022,14005,53590,9685,9685,41752,27747,104202,95349,8853,55390,9623,9623,39189,30336,94966,92030,2936,50739,9069,9069,35158,32222,98114,94736,3378,52035,9363,9363,36716,33338,94979,91062,3917,48616,9261,9261,37102,33185
