"행정구역(시군구)별",2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"성북구",83641,81163,2478,23690,37780,33684,22171,23789,74040,80006,-5966,22231,31945,33992,19864,23783,67929,73180,-5251,19958,28461,30263,19510,22959,64081,71262,-7181,19260,26903,29945,17918,22057,65082,76521,-11439,20926,26278,32828,17878,22767,66804,76213,-9409,22463,26805,31240,17536,22510,60000,70396,-10396,19693,23758,29144,16549,21559,61285,68221,-6936,20294,24663,27925,16328,20002,57147,65477,-8330,17850,22849,26886,16448,20741,67841,61169,6672,18649,30436,24257,18756,18263,62953,68231,-5278,17857,26351,29471,18745,20903,59054,62394,-3340,15232,26196,26356,17626,20806
"강북구",57460,58668,-1208,18785,25668,23660,13007,16223,53688,56152,-2464,17960,23637,22271,12091,15921,50417,53255,-2838,16987,21335,20872,12095,15396,47329,52704,-5375,16985,19800,20864,10544,14855,48224,52641,-4417,17353,20550,20587,10321,14701,47491,52240,-4749,17050,20125,20424,10316,14766,44791,48947,-4156,15955,18876,18777,9960,14215,42231,44809,-2578,14164,18237,17229,9830,13416,40941,45800,-4859,14384,16708,17345,9849,14071,38046,42622,-4576,12253,15927,17706,9866,12663,41625,46656,-5031,13264,18126,18992,10235,14400,37057,42961,-5904,12081,15985,17098,8991,13782
"도봉구",53589,61207,-7618,17662,21366,23646,14561,19899,54372,58382,-4010,18544,22182,21650,13646,18188,48249,52887,-4638,16299,19418,18944,12532,17644,47956,52619,-4663,16791,19119,18737,12046,17091,45658,51552,-5894,16128,18121,18276,11409,17148,48961,52460,-3499,17450,20163,17754,11348,17256,44836,48607,-3771,15745,18310,16231,10781,16631,40965,45260,-4295,13548,16966,15818,10451,15894,39518,44213,-4695,13353,16245,14959,9920,15901,35445,41225,-5780,11370,14573,15080,9502,14775,40435,47892,-7457,13305,17053,17260,10077,17327,36895,42682,-5787,11844,15678,15237,9373,15601
"노원구",84687,92813,-8126,26361,32611,33218,25715,33234,82094,91939,-9845,27960,30442,32666,23692,31313,75404,84716,-9312,24519,28016,27918,22869,32279,74362,83460,-9098,25535,27219,26905,21608,31020,73503,83748,-10245,25915,26388,27796,21200,30037,73528,83672,-10144,26191,26958,26038,20379,31443,72249,81176,-8927,26140,25665,24363,20444,30673,64406,78488,-14082,23570,21744,25639,19092,29279,61867,72748,-10881,20348,22309,22561,19210,29839,57183,68095,-10912,18216,20083,23167,18884,26712,68176,77707,-9531,23390,24801,25592,19985,28725,58736,68473,-9737,18539,22295,22981,17902,26953
"은평구",99486,87400,12086,37527,36710,21492,25249,28381,88184,84656,3528,36143,29619,20945,22422,27568,82891,77208,5683,30714,30217,19484,21960,27010,77427,77311,116,29618,27168,19325,20641,28368,73950,80850,-6900,30549,23395,20600,20006,29701,82375,85329,-2954,34346,27880,20433,20149,30550,74864,82925,-8061,33453,23255,20740,18156,28732,68402,73637,-5235,27968,22431,18672,18003,26997,67489,71519,-4030,26823,22289,17178,18377,27518,69399,72721,-3322,27569,22588,17515,19242,27637,76364,76165,199,27771,27369,19373,21224,29021,63269,66951,-3682,22712,22585,17449,17972,26790
"서대문구",50156,61119,-10963,12894,21373,29348,15889,18877,48068,58502,-10434,12960,20221,27357,14887,18185,50685,51250,-565,12212,22911,22428,15562,16610,47645,49668,-2023,11666,21247,21308,14732,16694,45088,49817,-4729,11251,19217,21795,14620,16771,55729,55165,564,15178,24763,22764,15788,17223,55152,54236,916,14917,24253,21666,15982,17653,48534,50286,-1752,11716,21699,22362,15119,16208,45861,48484,-2623,11158,19492,20742,15211,16584,45729,46677,-948,10070,19646,20288,16013,16319,56504,53579,2925,12499,25780,23620,18225,17460,42484,47061,-4577,8262,18595,21779,15627,17020
"마포구",75393,76441,-1048,20885,33130,30725,21378,24831,70011,74510,-4499,20053,29312,30025,20646,24432,60874,67554,-6680,16765,24267,27848,19842,22941,60331,65135,-4804,16445,24529,26637,19357,22053,68853,67146,1707,18941,28596,26208,21316,21997,71484,72254,-770,20023,30118,29185,21343,23046,62642,72793,-10151,18248,24297,31508,20097,23037,57490,63689,-6199,14608,23249,28404,19633,20677,60227,61071,-844,14817,24582,25393,20828,20861,57766,59573,-1807,13553,23286,25731,20927,20289,66215,68667,-2452,15705,27864,30927,22646,22035,61543,62124,-581,13751,26924,26899,20868,21474
"양천구",75105,84099,-8994,24256,29024,31040,21825,28803,81691,83464,-1773,27076,34034,29650,20581,26738,65512,71946,-6434,21433,25411,25071,18668,25442,63005,68505,-5500,20157,25257,24905,17591,23443,62502,70772,-8270,19751,25270,28531,17481,22490,66589,70624,-4035,21529,27206,25927,17854,23168,65385,74404,-9019,24067,25381,26513,15937,23824,54797,62729,-7932,17134,22226,23721,15437,21874,54579,62414,-7835,16607,22383,22756,15589,23051,50256,56733,-6477,14024,21068,22060,15164,20649,64081,68021,-3940,19084,27259,25827,17738,23110,54952,60442,-5490,15867,23326,22780,15759,21795
"강서구",91718,100863,-9145,31280,32584,30988,27854,38595,90049,98634,-8585,30910,32404,30173,26735,37551,82623,87711,-5088,27209,29804,25160,25610,35342,84702,86246,-1544,28785,30372,24236,25545,33225,109436,96548,12888,39586,41642,24225,28208,32737,94604,94501,103,33798,33645,25985,27161,34718,95852,93011,2841,33063,35464,24866,27325,35082,90217,86483,3734,28946,32381,23318,28890,34219,83699,90281,-6582,26562,28883,24894,28254,38825,78518,85057,-6539,24729,26068,25354,27721,34974,87198,99573,-12375,27937,29883,29855,29378,41781,87269,91368,-4099,28004,31430,25250,27835,38114
"구로구",63011,69935,-6924,15824,23408,21730,23779,32381,72945,72658,287,19588,29051,21606,24306,31464,59003,62428,-3425,15278,21133,19467,22592,27683,56381,62188,-5807,14891,19733,19885,21757,27412,62804,65025,-2221,17625,21991,20613,23188,26787,57099,64052,-6953,16414,19681,19671,21004,27967,54368,61558,-7190,14722,19444,19205,20202,27631,50077,58672,-8595,13395,17035,18527,19647,26750,51108,58543,-7435,13516,18279,17607,19313,27420,54791,53666,1125,12486,20568,17069,21737,24111,60885,64024,-3139,14660,20745,21172,25480,28192,48170,54880,-6710,11292,18189,17645,18689,25943
