"전출지별","전입지별",2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"전출지별","전입지별",이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명)
"서울특별시","서울특별시",1199708,0,1215122,0,1069300,0,1053008,0,1098023,0,1129529,0,1061915,0,1018807,0,979576,0,950627,0,1068113,0,957064,0
"서울특별시","경기도",410735,124772,373771,101364,354135,99960,340801,94337,332785,83084,359337,119780,370760,136403,342433,107985,368536,135216,334293,91954,375867,109492,362116,124910
"경기도","서울특별시",285963,-124772,272407,-101364,254175,-99960,246464,-94337,249701,-83084,239557,-119780,234357,-136403,234448,-107985,233320,-135216,242339,-91954,266375,-109492,237206,-124910
"경기도","경기도",1435269,0,1387806,0,1294565,0,1274495,0,1275072,0,1346264,0,1301101,0,1259187,0,1366502,0,1301708,0,1448061,0,1365816,0
